text,timestamp_utc,timestamp_manila,permalink,friendly_name,doc_id,cycle,scroll_idx,json_file
"WALANG PASOK: Classes in ALL LEVELS for public schools and work in GOVERNMENT OFFICES are suspended in the City of Manila from from August 23-24, 2022 due to severe tropical storm #FloritaPH per the Office of the Press Secretary.

For your information.

#AlertoManileno #WalangPasok",2022-08-23T05:49:25+00:00,2022-08-23T05:49:25+00:00,,SearchCometResultsPaginatedResultsQuery,,0,-1,cycle_00\scroll_-0001\res_1757859850776.json
"WALANG PASOK: Dahil sa nararanasan na sama ng panahon dulot ng bagyong #KristinePH , suspendido ang klase sa LAHAT NG ANTAS sa pampubliko at pribadong paaralan sa Huwebes, October 24, 2024, dahil sa nakataas na Tropical Cyclone Wind Signal No. 2 sa Kalakhang Maynila.

Magsasagawa ng make-up classes bilang kapalit ng mga araw na walang pasok.

Inaanyayaan ang lahat na manatili sa kanilang mga tahanan, maghanda, at mag-ingat. 

#WalangPasok",2024-10-23T09:35:03+00:00,2024-10-23T09:35:03+00:00,,SearchCometResultsPaginatedResultsQuery,,0,-1,cycle_00\scroll_-0001\res_1757859850776.json
"WALANG PASOK: Mayor Honey Lacuna-Pangan declares FACE-TO-FACE classes in ALL LEVELS in public and private schools suspended tomorrow, Tuesday, March 4, 2025.

Schools are advised to shift to any alternative learning modality. 

According to the weather forecast by MDRRMO, Manila’s heat index will hit a peak of 43°C tomorrow. Everyone is advised to take caution. 

#WalangPasok",2025-03-03T13:08:15+00:00,2025-03-03T13:08:15+00:00,,SearchCometResultsPaginatedResultsQuery,,0,0,cycle_00\scroll_00000\res_1757859863959.json
"📢 WALANG PASOK | Agosto 26, 2025 (Martes)

Ayon sa anunsyo ng Presidential Communications Office (PCO), suspendido ang mga klase sa lahat ng antas sa mga pampubliko at pribadong paaralan, gayundin ang trabaho sa mga tanggapan ng pamahalaan sa mga sumusunod na lugar, bunsod ng inaasahang masamang panahon:

• Metro Manila
• Aurora
• Quezon
• Rizal
• Laguna
• Camarines Norte
• Camarines Sur
• Albay
• Sorsogon
• Catanduanes
• Masbate
• Northern Samar
• Eastern Samar
• Leyte
• Southern Leyte

Gayunpaman, ang mga opisina ng Pamahalaang Lungsod ng Maynila na may tungkulin sa paghahatid ng mga pangunahing at mahahalagang serbisyo, tulad ng disaster response, kalusugan, kapayapaan at kaayusan, at iba pang mahahalagang gawain ay magpapatuloy pa rin sa kanilang operasyon upang matiyak ang tuloy-tuloy na serbisyo para sa publiko.

Ang desisyon ukol sa operasyon ng mga pribadong kumpanya at opisina ay ipinauubaya sa kanilang pamunuan.

Pinapayuhan ang lahat na maging maingat, iwasan ang mga mapanganib na lugar, at manatiling nakatutok sa mga opisyal na abiso at update mula sa pamahalaan.

Stay safe, Manileños! 

#AlertoManileño",2025-08-25T10:01:10+00:00,2025-08-25T10:01:10+00:00,,SearchCometResultsPaginatedResultsQuery,,0,0,cycle_00\scroll_00000\res_1757859863959.json
"WALANG PASOK: Manila Mayor Dra. Honey Lacuna-Pangan suspends face-to-face and online classes in ALL LEVELS in public and private schools on Monday, September 2, 2024 due to the forecasted rainfall due to Tropical Depression #EntengPH.

Stay safe, Manilans!

#WalangPasok",2024-09-01T18:06:02+00:00,2024-09-01T18:06:02+00:00,,SearchCometResultsPaginatedResultsQuery,,0,1,cycle_00\scroll_00001\res_1757859865995.json
"WALANG PASOK: Dahil sa masamang panahon dulot ng bagyong #KristinePH, suspendido ang pasok sa pampubliko at pribadong eskwelahan sa LAHAT NG ANTAS sa Lungsod ng Maynila ngayong Biyernes, October 25, 2024.

Magsasagawa ng make-up classes bilang kapalit ng mga walang pasok.

Mag-iingat po kayo lahat!

#WalangPasok",2024-10-24T10:54:09+00:00,2024-10-24T10:54:09+00:00,,SearchCometResultsPaginatedResultsQuery,,0,1,cycle_00\scroll_00001\res_1757859865995.json
"WALANG PASOK: Manila Mayor Dra. Honey Lacuna-Pangan declares suspension of EVENING CLASSES for private and public schools in ALL LEVELS for today, November 16, 2024 and ALL SUNDAY CLASSES including ROTC, NSTP, and Graduate school classes in public and private colleges and universities on Sunday, November 17, 2024.

This is in precaution due to the forecasted inclement weather brought about by Super Typhoon #PepitoPH per recommendation of Manila DRRM Office.

#WalangPasok",2024-11-16T07:04:11+00:00,2024-11-16T07:04:11+00:00,,SearchCometResultsPaginatedResultsQuery,,0,1,cycle_00\scroll_00001\res_1757859865995.json
"WALANG PASOK: Suspension of classes in ALL LEVELS in Metro Manila are extended until April 12, 2020 as declared by President Rodrigo Duterte on Thursday, March 12.

#AlertoManileno",2020-03-12T13:37:23+00:00,2020-03-12T13:37:23+00:00,,SearchCometResultsPaginatedResultsQuery,,0,2,cycle_00\scroll_00002\res_1757859868023.json
"WALANG PASOK: As of 11:30AM, tinaas na ng PAG ASA ang Signal no 1 sa Metro Manila dahil sa Bagyong #KristinePH. 

Alinsunod sa Department of Education Order No. 37, Series of 2022, AUTOMATIC na SUSPENDED ang klase sa Kinder hanggang Senior High School sa lahat ng paaralan, pampubliko at pribado, kasama ONLINE CLASSES, kasama ang mga nasa Alternative Learning System (ALS) sa Pamahalaang Lungsod ng Maynila ngayon HAPON. 

Manatili na lang po sa inyong mga tahanan at inaabisuhan ang lahat na mag handa at mag ingat.

#WalangPasok",2024-10-22T04:07:29+00:00,2024-10-22T04:07:29+00:00,,SearchCometResultsPaginatedResultsQuery,,0,4,cycle_00\scroll_00004\res_1757859872112.json
"WALANG PASOK: Manila Mayor Dra. Honey Lacuna-Pangan suspends classes in ALL LEVELS in public and private schools for Monday, November 18, 2024.

This is per recommendation of Manila DRRM Office due to the inclement weather brought about by Super Typhoon #PepitoPH

#WalangPasok",2024-11-17T11:00:36+00:00,2024-11-17T11:00:36+00:00,,SearchCometResultsPaginatedResultsQuery,,0,5,cycle_00\scroll_00005\res_1757859874140.json
