cycle,scroll_idx,ts_iso,req_method,req_res_type,status,content_type,url,friendly_name,doc_id,is_json,has_serp,json_hash,req_json_path,res_body_path,res_json_path,req_size,res_size
0,-1,2025-09-14T14:26:23.410267+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,fetchMWChatVideoAutoplaySettingQuery,,1,0,828a90596d01,cycle_00\scroll_-0001\req_1757859983410.json,cycle_00\scroll_-0001\res_1757859983410.bin,cycle_00\scroll_-0001\res_1757859983410.json,0,204
0,-1,2025-09-14T14:26:24.137390+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,SearchCometResultsPaginatedResultsQuery,,1,1,9b60e1d2abb8,cycle_00\scroll_-0001\req_1757859984137.json,cycle_00\scroll_-0001\res_1757859984137.bin,cycle_00\scroll_-0001\res_1757859984137.json,0,335022
0,-1,2025-09-14T14:26:28.807284+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,useMWEncryptedBackupsFetchBackupIdsV2Query,,1,0,62c00e792347,cycle_00\scroll_-0001\req_1757859988807.json,cycle_00\scroll_-0001\res_1757859988807.bin,cycle_00\scroll_-0001\res_1757859988807.json,0,2317
0,-1,2025-09-14T14:26:28.809398+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,RTWebCallBlockSettingHooksQuery,,1,0,1e4a15904b21,cycle_00\scroll_-0001\req_1757859988809.json,cycle_00\scroll_-0001\res_1757859988809.bin,cycle_00\scroll_-0001\res_1757859988809.json,0,166
0,-1,2025-09-14T14:26:28.811304+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,MAWVerifyThreadCutover_ContactCapabilities2Query,,1,0,235e9319a713,cycle_00\scroll_-0001\req_1757859988811.json,cycle_00\scroll_-0001\res_1757859988811.bin,cycle_00\scroll_-0001\res_1757859988811.json,0,200
0,-1,2025-09-14T14:26:28.814669+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,CometSearchBootstrapKeywordsDataSourceQuery,,1,0,f8e7f0cad709,cycle_00\scroll_-0001\req_1757859988814.json,cycle_00\scroll_-0001\res_1757859988814.bin,cycle_00\scroll_-0001\res_1757859988814.json,0,431638
0,-1,2025-09-14T14:26:32.729338+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,MWChatSettingsQuery,,1,0,582f956a6bd2,cycle_00\scroll_-0001\req_1757859992729.json,cycle_00\scroll_-0001\res_1757859992729.bin,cycle_00\scroll_-0001\res_1757859992729.json,0,194
0,0,2025-09-14T14:26:37.250703+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,SearchCometResultsPaginatedResultsQuery,,1,1,07d5e86e87d2,cycle_00\scroll_00000\req_1757859997250.json,cycle_00\scroll_00000\res_1757859997250.bin,cycle_00\scroll_00000\res_1757859997250.json,0,334898
0,1,2025-09-14T14:26:39.324735+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,SearchCometResultsPaginatedResultsQuery,,1,1,398ad21f1d4f,cycle_00\scroll_00001\req_1757859999324.json,cycle_00\scroll_00001\res_1757859999324.bin,cycle_00\scroll_00001\res_1757859999324.json,0,344471
0,2,2025-09-14T14:26:41.360824+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,SearchCometResultsPaginatedResultsQuery,,1,1,ed6d2fe25740,cycle_00\scroll_00002\req_1757860001360.json,cycle_00\scroll_00002\res_1757860001360.bin,cycle_00\scroll_00002\res_1757860001360.json,0,330307
0,3,2025-09-14T14:26:43.417071+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,SearchCometResultsPaginatedResultsQuery,,0,0,,cycle_00\scroll_00003\req_1757860003417.json,cycle_00\scroll_00003\res_1757860003417.bin,,0,733091
0,5,2025-09-14T14:26:45.479105+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,SearchCometResultsPaginatedResultsQuery,,1,1,cecc26a1d054,cycle_00\scroll_00005\req_1757860005479.json,cycle_00\scroll_00005\res_1757860005479.bin,cycle_00\scroll_00005\res_1757860005479.json,0,336175
0,5,2025-09-14T14:26:47.503304+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,SearchCometResultsPaginatedResultsQuery,,1,1,c891bd3e245b,cycle_00\scroll_00005\req_1757860007503.json,cycle_00\scroll_00005\res_1757860007503.bin,cycle_00\scroll_00005\res_1757860007503.json,0,229079
0,6,2025-09-14T14:26:49.533979+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,SearchCometResultsPaginatedResultsQuery,,1,1,bc1e13d14a0c,cycle_00\scroll_00006\req_1757860009533.json,cycle_00\scroll_00006\res_1757860009533.bin,cycle_00\scroll_00006\res_1757860009533.json,0,333699
0,7,2025-09-14T14:26:51.583890+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,SearchCometResultsPaginatedResultsQuery,,1,1,eaaa8ec973a2,cycle_00\scroll_00007\req_1757860011583.json,cycle_00\scroll_00007\res_1757860011583.bin,cycle_00\scroll_00007\res_1757860011583.json,0,462781
0,8,2025-09-14T14:26:53.643661+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,SearchCometResultsPaginatedResultsQuery,,1,1,54ee5ae0e91c,cycle_00\scroll_00008\req_1757860013643.json,cycle_00\scroll_00008\res_1757860013643.bin,cycle_00\scroll_00008\res_1757860013643.json,0,333618
0,9,2025-09-14T14:26:55.680024+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,SearchCometResultsPaginatedResultsQuery,,1,1,3887958cd087,cycle_00\scroll_00009\req_1757860015680.json,cycle_00\scroll_00009\res_1757860015680.bin,cycle_00\scroll_00009\res_1757860015680.json,0,230404
0,10,2025-09-14T14:26:57.709548+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,SearchCometResultsPaginatedResultsQuery,,1,1,0b8dc5ec9d8c,cycle_00\scroll_00010\req_1757860017709.json,cycle_00\scroll_00010\res_1757860017709.bin,cycle_00\scroll_00010\res_1757860017709.json,0,333899
0,11,2025-09-14T14:26:59.750713+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,SearchCometResultsPaginatedResultsQuery,,1,1,7a82a3ce430e,cycle_00\scroll_00011\req_1757860019750.json,cycle_00\scroll_00011\res_1757860019750.bin,cycle_00\scroll_00011\res_1757860019750.json,0,587653
0,12,2025-09-14T14:27:01.799211+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,SearchCometResultsPaginatedResultsQuery,,1,1,8d998bf84529,cycle_00\scroll_00012\req_1757860021799.json,cycle_00\scroll_00012\res_1757860021799.bin,cycle_00\scroll_00012\res_1757860021799.json,0,369496
0,13,2025-09-14T14:27:03.839855+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,SearchCometResultsPaginatedResultsQuery,,1,1,17d0e0cf4491,cycle_00\scroll_00013\req_1757860023839.json,cycle_00\scroll_00013\res_1757860023839.bin,cycle_00\scroll_00013\res_1757860023839.json,0,370011
0,14,2025-09-14T14:27:05.869996+00:00,POST,xhr,200,"text/html; charset=""utf-8""",https://www.facebook.com/api/graphql/,SearchCometResultsPaginatedResultsQuery,,1,1,e134433b6191,cycle_00\scroll_00014\req_1757860025869.json,cycle_00\scroll_00014\res_1757860025869.bin,cycle_00\scroll_00014\res_1757860025869.json,0,51069
